_id,name,sentence,cmd
1-86,전차장,"내일 점심까지는 여단 본부에 도착할 수 있을 거고, 그럼 다시 전투 준비를 갖출 수 있겠지.",
1-87,소냐,무사히 도착할 수 있을까요?,
1-88,전차장,적이랑 마주치지 않기를 기도하는 수밖에.,
1-89,전차장,지금 우리 상태로는 전력으로 달려도 도주하기 어려우니까.,
1-90,소냐,당초 공세선으로 바로 가는 건 어때요?,
1-91,소냐,지금 속도면 서너 시간 정도면 도착할 텐데.,
1-92,전차장,전선으로 바로 가면 전투에 휘말릴 위험이 너무 크다.,
1-93,전차장,말 그대로 개죽음이 될 거다.,
1-94,이리나,싸우는 건 무리임다.,
1-95,이리나,어제 적 판터 소대를 상대하느라고 철갑탄은 거의 다 썼음다.,
1-96,이리나,남은 건 고폭탄이랑 백린연막탄 정도?,
1-97,전차장,제길. 그 때 좀 아껴 쓸 걸 그랬나?,
1-98,소냐,탄을 아꼈으면 역으로 우리가 당했겠죠…,
1-99,,조종수의 원맨쇼를 보면서 생산성 없는 대화를 이어나가던 중이었다.,"SetSprite(0, """");SetSprite(1, """");"
1-100,,"저 멀리 지평선 너머에서, 무언가가 서서히 모습을 드러내는 것이 보였다.","SetBackground(""meadow_day"");StopBGM(""bgm20"",0.7);"
1-101,소냐,저… 전차장님? 3시 방향에 미확인 차량이 식별되었습니다!,"SetSprite(0, ""sonya_shock"");"
1-102,전차장,바로 확인해보겠다. 잠시 대기!,"PlayBGM(""bgm01"");"
1-103,,육안으로는 식별이 안 되기에 쌍안경을 꺼내 든다.,"SetSprite(0, """");"
1-104,,상대는 흙먼지를 희뿌옇게 일으키며 똑바로 나아가고 있었다.,
1-105,,윤곽이 드러나며 포신과 무한궤도가 흐릿하게나마 보인다.,
1-106,,"상대는 전차로 식별되었고, 거리는 약 1.5킬로 정도 떨어져 있다.",
1-107,,"이제 아군인지, 적인지, 피아식별만이 남아 있다.",
1-108,,쌍안경의 망선 가운데에 전차를 놓는다.,
1-109,,"<i><b> ""달그락 달그락"" </b></i>","PlaySFX(""weapons_use"");"
1-110,,조정 나사를 천천히 돌려 초점을 맞춘다. 제발. 아군이기를!,
1-111,,전차의 모습이 좀 더 선명해진다.,
1-112,,그리고... 증오스러운 검은색 철십자가 보였다.,StopBGMAll();
1-113,,적이다!!,"PlayBGM(""bgm07"");MakeShake(0.5);"
1-114,전차장,독일군이다! 현 위치에서 바로 이탈한다!!,
1-115,전차장,미하일!! 하던 일 멈추고 기동 준비해!!,
1-116,미하일,"앗... 네! 전차장님, 알겠습니다!!","SetSprite(0, ""michael_shock"");"
1-117,전차장,이리나!! 철갑탄은 몇 발이나 남았지??,
1-118,이리나,2발임다. 이 거리라면 운 좋게 격파시킬 수도 있겠지만…,"SetSprite(0, ""irina_basic"");"
1-119,이리나,상황이 좋지 않슴다. 도망칠 수는 없겠습니까?,
1-120,전차장,무리다. 이 속도로는 어차피 따라잡힌다.,
1-121,전차장,당할 바에야 최소한 발버둥이라도 쳐보는 것이 좋다.,
1-122,소냐,넵. 사격은 맡겨만 주십쇼!,"SetSprite(0, ""sonya_basic"");"
1-123,미하일,전차장님! 기동 준비 완료입니다.,"SetSprite(0, ""michael_basic"");"
1-124,전차장,좋아. 전진!,
1-125,,조종수가 엑셀 페달을 밟자 둔중한 차체가 서서히 움직이기 시작한다.,"SetSprite(0, """");PlaySFX(""tank_track"");"
1-126,전차장,가용한 탄이 적다. 최대한 접근해서 유효타를 날려야 한다!!,
1-127,전차장,"유효 사거리까지 기동한 후, 최단 시간 내로 승부를 봐야 승산이 있다.",
1-128,미하일,알겠습니다!,"SetSprite(0, ""michael_basic"");"
1-129,,주포를 겨냥하고 적에게 다가간다.,"SetSprite(0, """");"
1-130,,"궤도에 점점 가속을 붙이며, 상대와의 거리를 점점 좁혀간다.",
1-131,전차장,적 전차 현재 12시 방향에서 기동 중!,
1-132,전차장,초탄 고폭탄 장전!,
1-133,이리나,알겠슴다.,"SetSprite(0, ""irina_basic"");"
1-134,,흙먼지가 점차 걷히면서 적 전차가 실루엣을 드러낸다.,"SetSprite(0, """");SetBackground(""battle_1"");PlaySFX(""tank_engine"");"
1-135,전차장,4호 전차다!!,
1-136,,불행 끝에 드디어 실낱 같은 희망이 보이기 시작했다.,
1-137,,"4호 전차라면, 판터나 티거처럼 버거운 상대가 아니다.",
1-138,,"게다가, 우리는 비록 중대를 잃기는 했지만 판터를 상대로 분전하여 격파했다.",
1-139,,숱한 전투를 겪고 살아남은 전차전의 베테랑인 것이다.,
1-140,,해볼 만한 싸움이다!,
1-141,,"아니, 해볼 만한 것을 넘어 해내는 것이 당연하다!",
1-142,이리나,고폭탄 장전 완료.,"SetSprite(0, ""irina_basic"");SetSprite(1, ""sonya_angry"");PlaySFX(""shell_reload"");"
1-143,소냐,사거리 약 1킬로미터!! 발사 준비 완료!!,
1-144,전차장,현 위치에 정지!,
1-145,,궤도가 삐그덕 거리는 소리를 내며 급정지를 한다.,"PlaySFX(""tank_track"");"
1-146,전차장,사격!,
1-147,,"<i><b> ""쾅!!!"" </b></i>","PlaySFX(""tank_fire_shot"");SetSprite(0, """");SetSprite(1,"""");MakeShake(3.0);"
1-148,,차체를 울리는 굉음과 진동이 온몸으로 전해진다.,
1-149,,뒤이어 화약의 매콤한 연기가 주포에서 안개처럼 스멀스멀 올라온다.,
1-150,전차장,탄착 확인! 우로 20밀(Mil)!,
1-151,전차장,탄종 철갑탄으로!,
1-152,소냐,우로 20밀!! 주포 조정 완료!!,"SetSprite(0, ""irina_basic"");SetSprite(1, ""sonya_angry"");"
1-153,이리나,철갑탄 장전 완료.,"PlaySFX(""shell_reload"");"
1-154,전차장,…잠깐 대기!!,
1-155,,적 전차의 상태가 이상하다.,
1-156,,물론 기습을 가했으므로 우리가 유리한 것은 사실이다.,
1-157,,"하지만 반격할 생각은 없는 듯, 전속력으로 현 위치에서 이탈하려 하고 있다.",
1-158,전차장,전투 회피인가? 상관은 없지만.,
1-159,전차장,우로 10밀 조정! 준비되는 대로 쏴!,
1-160,소냐,우로 10밀!,
1-161,소냐,준비 완료! 사격!,
1-162,,"<i><b> ""쾅!!!"" </b></i>","PlaySFX(""tank_fire_shot"");SetSprite(0, """");SetSprite(1, """");MakeShake(2.0);"
1-163,,포탄은 직선 궤도를 그리며 빠르게 날아가더니.,
1-164,,적 전차의 좌후방에 탄착했다.,
1-165,,"맞을 듯한 상황에서, 절묘하게 방향을 틀어 최소의 움직임으로 피한다.","PlaySFX(""tank_track"");"
1-166,,"회피 기동을 상당히 노련하게 하는 것으로 보아, 상대도 베테랑임이 틀림없다.",
1-167,,상대를 너무 얕본 듯하다. 이제 본격적으로 승부다!,
1-168,이리나,철갑탄 1발 남았슴다.,"SetSprite(0, ""irina_basic"");SetSprite(1, "" michael_basic"");"
1-169,전차장,충분하다! 적은 지금 전투 불능으로 보인다!!,
1-170,전차장,추격하여 섬멸한다! 기동!!,
1-171,미하일,알겠습니다!,"SetSprite(0, """");SetSprite(1, """");SetSprite(0, ""michael_basic"");"
1-172,,속력을 내며 근접전을 시도해본다.,
1-173,,"하지만, 적도 필사적으로 전투를 회피하고 있어 거리를 좁히기 쉽지 않다.",
1-174,전차장,"좌측 언덕 위로 올라가서, 가속도로 따라 잡아보자. 가능한가?",
1-175,미하일,올라가다가 퍼질 거 같습니다만... 해보겠습니다!,
1-176,,"<i><b> ""쿠궁"" </b></i>","PlaySFX(""tank_engine"");MakeShake(2.0);SetSprite(0, ""michael_angry"");"
1-177,,엑셀을 있는 힘껏 밟자 엔진이 힘겨운 소리를 내며 열기를 뿜어낸다.,
1-178,미하일,큭. 속도가…!!,
1-179,,완만한 경사임에도 불구하고 매달리듯 올라가며 고전을 면치 못한다.,
1-180,전차장,제길!! 좀만 더!!,
1-181,소냐,적 약 800미터 전방!!,"SetSprite(1, "" sonya_angry"");"
1-182,전차장,더는 못 좁히나??!,
1-183,미하일,이제 곧 내리막길입니다!,
1-184,전차장,좋다!! 여기서 승부다!!,
1-185,,"언덕 정상을 찍고, 서서히 차체가 아래를 향하는 것이 느껴졌다.","PlaySFX(""tank_track"");"
1-186,,가속도가 붙었다!,
1-187,미하일,갑니다!!,
1-188,전차장,현 속도 유지!! 정후방을 노린다!!,
1-189,,거리가 점점 가까워져 이제 700미터다.,
1-190,,승부를 벌이기 충분한 거리다!,
1-191,이리나,철갑탄 1발 장전.,"SetSprite(0, ""irina_basic"");"
1-192,전차장,준비되는 대로 쏴!,
1-193,소냐,사격 준비 완료! 사격!!,
1-194,,"<i><b> ""쾅!!!"" </b></i>","StopBGMAll();PlaySFX(""tank_fire_shot"");MakeShake(2.0);"
1-195,전차장,격파했나?,
1-196,소냐,확인 중…,
1-197,,"짧은 순간이었지만, 흙먼지와 매연에 가려져 있던 적 전차가 다시 모습을 드러낸다.","PlayBGM(""bgm09"");"
1-198,소냐,읏... 도탄되었습니다!,
1-199,이리나,… 철갑탄 전탄 소진되었습니다.,
1-200,전차장,탄종에 여유가 있었으면 더 좋았을 텐데.,
1-201,전차장,어쩔 수 없다. 지금 잡지 않으면 우리가 당한다!,
1-202,,상황이 훨씬 안 좋아졌다.,"SetSprite(0, """");SetSprite(1, """");"
1-203,,"적을 쫓아 한참 추격하다 보니 길에서 멀어졌고,",
1-204,,그나마 남아 있던 철갑탄도 전탄 모두 사용했다.,
1-205,,활용 가능한 패가 수중에서 점점 없어지고 있다.,
1-206,,향후 몇 수 안에 결착을 내지 않으면 위험하다!,
1-207,소냐,전차장님! 적 전차 크게 선회합니다!,"SetSprite(0, ""sonya_angry"");"
1-208,소냐,방향은…,
1-209,소냐,전방 숲으로 향하고 있습니다!,
1-210,전차장,… 당했다!,"SetSprite(0, """");SetBackground(""meadow_day"");"
1-211,,"다급하게 적 전차를 쫓아 눈을 돌려보지만, 이미 나무의 장벽 사이로 모습을 감췄다.",
1-212,,공수를 뒤바꾸는 결정적인 묘수였다.,
1-213,전차장,적이지만 대단하군…,
1-214,,포연과 흙먼지로 시야가 차단된 그 찰나의 순간.,
1-215,,"적 전차는 최대 속도를 내며 그대로 숲속으로 돌진해 들어갔고, 이내 시야에서 멀어져 버렸다.",
1-216,,몰고 가던 사냥감이 모습을 감춘 상황.,
1-217,,이제는 반대로 사냥꾼이 맹수로부터 몸을 지켜야 하는 처지가 된 것이다.,
1-218,전차장,적이 언제 숲에서 공격해 올지 모른다. 조심해라!,"SetSprite(0, ""irina_basic"");SetSprite(1, ""sonya_basic"");"
1-219,소냐,갑자기 숲으로? 단순히 우릴 따돌리려는 속셈 아닐까요?,
1-220,이리나,아니면 함정으로 유인하는 것일 수도 있슴다.,
1-221,이리나,독일놈들이 매복해 있다가 판처 파우스트라도 쏘면 우린 끝임다.,
1-222,,불길한 예감이 든다. 하지만 쉽사리 등을 보일 수도 없다.,
1-223,전차장,어찌 됐든 지금 이 자리에 멈춰 있으면 당하는 건 확실하다.,
1-224,전차장,우리도 숲으로 진입한다!,
1-225,미하일,넵 전차장님!,"SetSprite(0, ""irina_angry"");SetSprite(1, ""michael_smile"");"
1-226,이리나,으… 내키지는 않슴다.,
1-227,소냐,기분 나쁜 숲이네요…,"SetSprite(0, """");SetSprite(1, """");SetSprite(0, ""sonya_angry"");"
1-228,,음산한 느낌의 숲이다.,"SetSprite(0, """");SetBackground(""mud_day"");"
1-229,,여름의 한낮임에도 불구하고 서늘하다 못해 살벌한 기운이 풍긴다.,
1-230,,"오래된 참나무 가지들은 제멋대로 자라 서로 뒤엉킨 채 방치되어 있었고,",
1-231,,"길 위에서 서로 다시 엉겨 붙어, 숲 전체가 마치 하나의 거대한 터널처럼 보였다.",
1-232,,햇빛도 비치지 않는 어둡고 습한 터널.,
1-233,,나무 터널 사이로는 전차가 한 대 지나갈 만한 작은 오솔길만 있다.,
1-234,,거기엔 방금 지나간 전차의 궤도가 선명하게 찍혀 있었다.,
1-235,,지옥의 입구로 들어가는 듯한 황량한 풍경.,
1-236,,마치 침입자를 한사코 거부하는 것처럼 느껴진다.,
1-237,미하일,… 그럼 길을 따라서 쫓아가겠습니다.,"SetSprite(0, ""michael_basic"");"
1-238,전차장,고폭탄은 얼마나 남았지?,"SetSprite(0, ""irina_basic"");"
1-239,이리나,8발 남았슴다.,
1-240,전차장,쳇. 상황이 좋지 않군.,
1-241,소냐,그래도 최대한 접근하면 고폭탄으로도 제압 가능합니다.,"SetSprite(0, ""sonya_basic"");"
1-242,전차장,"숲이어서 시야도 좁고 기동 범위도 좁지만, 그건 적도 마찬가지다.","SetSprite(0, """");"
1-243,전차장,여기서 결착을 낸다!,
1-244,,"길을 따라서 천천히 진입해 들어가자,",
1-245,,"<i><b> ""철퍽"" </b></i>","SetSprite(0, ""michael_shock"");PlaySFX(""sticky"");"
1-246,,궤도로부터 끈적거리는 듯한 기분 나쁜 소리가 들려온다.,
1-247,미하일,노면 상태가 안 좋습니다! 완전 진흙탕입니다.,
1-248,소냐,최악이로군요.,"SetSprite(0, ""sonya_angry"");"
1-249,,포수의 말처럼 전황은 계속 적의 의도대로 흘러가고 있다.,
1-250,,"전차가 숲의 깊은 곳으로 나아갈수록, 끝도 없는 수렁에 빠져드는 듯한 기분이다.","StopBGM(""bgm09"",1.5);"
2-1,,,"MakeTitle(""1943년 8월 4일. 오전 11시경."");SetBackground(""t34_mud_day"");SetSprite(0, """");SetSprite(1, """"); SetDateTime(""1943.08.04 11:00"");"
2-2,미하일,전차장님! 진창이라 속도가 잘 안 나옵니다!,"SetSprite(0, ""michael_angry"");PlayBGM(""bgm01"");PlaySFX(""sticky"");"
2-3,전차장,"당황할 필요 없다. 어차피 길은 일직선이고, 적도 진창에 빠졌을 거다.",
2-4,전차장,"먼저 발견하고, 먼저 사격해서 제압하면 끝날 일이다.",
2-5,전차장,간단하지 않나?,"SetSprite(0, ""sonya_shock"");"
2-6,소냐,전차장님? 그건 우리도 마찬가지 아닌가요?,"SetSprite(0, ""sonya_angry"");"
2-7,소냐,반대로 적이 우릴 먼저 공격하면 역으로 우리가 당할 겁니다.,
2-8,소냐,숲이 빽빽해서 우회 기동도 못 해요.,
2-9,전차장,"아니, 난 우리가 먼저 발견할 거라 확신한다.",
2-10,소냐,작전이 있는 건가요?,"SetSprite(0, ""sonya_smile_2"");"
2-11,소냐,역시 전차장님!,
2-12,전차장,"전차 승무원 총원 4명의 관측 능력을 최대한 발휘, 먼저 적을 발견한다.",
2-13,전차장,"즉, 우리의 좋은 시력을 이용하는 거지!!","SetSprite(0, ""sonya_shock"");"
2-14,소냐,… 작전이 없다는 걸 돌려 말하시네요.,"SetSprite(0, ""sonya_angry"");SetSprite(1, ""irina_angry"");"
2-15,이리나,으… 전차에서 내리고 싶습니다.,
2-16,전차장,어려울수록 마음 약해지면 안 된다.,
2-17,전차장,더러운 파시스트 놈들에게 한 방 먹여줘야지!!,
2-18,미하일,하하하!! 좋습니다!! 전차장님!!,"SetSprite(1, """");SetSprite(0, ""michael_smile"");"
2-19,미하일,갑니다!! 인민의 분노를 담아!! 조국 땅을 짓밟은 독일놈들에게 죽음을!!,"PlaySFX(""tank_engine"");"
2-20,,"조종수가 큰소리로 기합을 넣자, 갑자기 전차가 빨라진 듯한 느낌이 든다.",
2-21,,… 우연이겠지.,
2-22,전차장,이제 슬슬 보일 때가 되었는데.,"SetSprite(0, """");"
2-23,,"진흙탕으로 변해버린 길이지만, 그마저도 전방 200미터 부근에서 끊어져 있다.",
2-24,,궤도 자국 또한 길의 끝단까지만 이어져 있다.,
2-25,,아마도 근처에 매복하고 있을 것이다.,
2-26,,"다시, 긴장감이 서서히 감돌기 시작한다.",
2-27,,"<i><b> ""철컥"" </b></i>","SetSprite(0, ""irina_basic"");PlaySFX(""shell_reload"");"
2-28,이리나,고폭탄 1발 장전.,
2-29,이리나,초탄에 명중시켜야 함다.,
2-30,전차장,좋아. 해보자구!,
2-31,소냐,명령만 내려주시면 바로 사격 가능합니다!!,"SetSprite(0, ""sonya_smile_1"");SetSprite(1, ""michael_basic"");"
2-32,미하일,곧 길이 끝납니다!! 길옆의 소택지로 진입하겠습니다!!,"SetSprite(1, ""michael_smile"");"
2-33,전차장,기동할만한 곳이 없나. 좋다!,
2-34,전차장,빠지지 않도록 최대한 조심해서 기동하도록!,
2-35,,"길의 끝에는 버려진 채 방치된 폐가가 있었고, 옆으로는 작은 늪지대가 펼쳐져 있었다.","SetBackground(""ruin_day"");SetSprite(0, """");SetSprite(1, """");"
2-36,,"늪의 중간중간에는 바위가 놓여 있었고, 작은 조형물들도 이끼가 낀 채 방치되어 있었다.",
2-37,,"수년 전, 폐가의 주인이 연못으로 조성한 것으로 보인다.",
2-38,,"하지만, 이 또한 버려진 지 오래되어 숲처럼 기괴하고 음습한 기운이 감돌 뿐이었다.",
2-39,전차장,적은 폐가 뒤쪽에 은신해 있을 것으로 보인다.,"SetSprite(0, ""michael_basic"");"
2-40,전차장,우측의 잔해로 올라서면 보일 거다.,
2-41,미하일,네! 알겠습니다!,
2-42,,"전차는, 조심스럽게 썩은 통나무를 밟으며 늪지대로 나아갔다.","SetSprite(0, """");"
2-43,,그리고,
2-44,전차장,적이다!! 사격….,"SetBackground(""battle_2"");"
2-45,,"<i><b> ""쾅!!!"" </b></i>","StopBGMAll();PlaySFX(""tank_fire_shot"");MakeShake(4.0);"
2-46,,"<i><b> ""쾅!!!"" </b></i>","PlaySFX(""tank_fire_shot"");"
2-47,소냐,크윽?!,"SetSprite(0, ""sonya_angry"");"
2-48,,"지축이 흔들리고, 폭발음에 귀가 멍해졌다.","PlaySFX(""speaker"");"
2-49,전차장,콜록… 콜록…,"SetSprite(0, ""sonya_shock"");"
2-50,,귀가 아프다. 하지만 상황 판단이 우선이다!,
2-51,,우리가 당한 건가? 적이 먼저 쐈는가?,
2-52,,피해 규모는? 반격은 가능한가?!,
2-53,소냐,전차장님!! 정신 차리십시오!!,"SetSprite(1, ""irina_angry"");"
2-54,전차장,괜찮다! 피해 상황은?,
2-55,이리나,내부는 멀쩡. 외부는 불명!,
2-56,소냐,방금 적과 동시에 사격했습니다!,
2-57,전차장,역시 상대도 만만치 않군.,
2-58,전차장,재차 사격한다!!,"Wait(1.2);PlayBGM(""bgm02"");"
2-59,,포연이 걷힐 틈새도 주지 않는다.,
2-60,,적이 완전히 침묵할 때까지 사격을 가할 뿐!,
2-61,이리나,고폭탄 1발 장전.,"SetSprite(0, ""sonya_angry"");PlaySFX(""shell_reload"");"
2-62,소냐,이번에야말로!!!,
2-63,,"<i><b> ""철컹"" </b></i>","StopBGMAll();SetSprite(0, ""sonya_shock"");SetSprite(1, ""irina_shock"");PlaySFX(""hatch_open"");"
2-64,,"그 순간,",
2-65,,적 전차의 해치가 열렸다.,
2-66,전차장,…?!,"SetSprite(0, """");SetSprite(1, """");SetBackground(""pzIV_mud_day"");"
2-67,???,잠… 잠깐만요!!!,"PlayBGM(""bgm02"");"
2-68,,해치가 열리며 백기를 든 여성이 올라왔다.,"SetSprite(0, ""rebecca_cry_1"");"
2-69,전차장,뭐… 무슨??,
2-70,???,제… 제발…,
2-71,???,쏘… 쏘지 말아 주세요!!!,
2-72,,"여성은 큐폴라 뒤쪽으로 올라서더니, 양팔을 크게 흔들며 울부짖었다.",
2-73,소냐,민간인?? 어째서 전차에 민간인이??,"SetSprite(0, ""sonya_shock"");SetSprite(1, ""michael_angry"");"
2-74,미하일,더러운 파시스트 놈들!! 민간인을 인질로!!!,
2-75,이리나,전차장님! 당장 쏴야 됩니다!!,"SetSprite(1, ""irina_angry"");"
2-76,이리나,이러다 우리가 당합니다!!!,
2-77,소냐,하… 하지만…!,
2-78,전차장,기다려라! 대화를 시도해보겠다!,
2-79,이리나,이 상황에서 말입니까???,
2-80,소냐,전차장님!! 앞에…!!!,
